id;fecha;registrada;estado;investigacion;riesgo;titulo;matricula
O16935-26;24/07/2026 11:00;27/07/2026;O;LS;Acceptable (4);AVA- MEDICAL KIT DISCREPANCY DURING INFLIGHT MEDICAL EVENT;N943AV
O16910-26;23/07/2026 00:15;27/07/2026;O;LS;Acceptable (1);AVA- WET CARPET;N937AV
O16310-26;22/07/2026 12:19;22/07/2026;P;AO;Acceptable (1);AVA- ON BOARD SERVICE DURING TAXI OUT;
O16705-26;20/07/2026 23:35;24/07/2026;O;LS;Acceptable (4);AVA- PASSENGER HEAD INJURY;HK-5335
O17526-26;19/07/2026 12:27;03/08/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS AND MEDICAL KIT USE;N794AV
O16664-26;18/07/2026 13:00;24/07/2026;O;LS;Acceptable (1);AVA- VERY HIGH TEMPERATURE IN THE CABIN;N481AV
O16647-26;18/07/2026 09:10;24/07/2026;O;LS;Acceptable (2);AVA- GO AROUND DUE TO LATE CABIN PREPARATION;HK-5408
O16814-26;17/07/2026 22:00;24/07/2026;O;LS;Acceptable (1);AVA- ADDITIONAL HAND CARRY BAGGAGE REQUEST WITH NO WEIGHT AVAILABLE;N765AV
O16781-26;17/07/2026 10:30;24/07/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N962AV
O16769-26;17/07/2026 06:02;24/07/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED;N762AV
O17738-26;17/07/2026 05:00;03/08/2026;O;LS;Acceptable (2);GLG- PAX ILLNESS AND FLIGHT DIVERTED TO MIA;N963AV
O17282-26;17/07/2026 03:30;29/07/2026;O;LS;Acceptable (2);GLG- PAX ILLNESS AND FLIGHT DIVERTED TO MIA;N963AV
O16749-26;16/07/2026 09:20;24/07/2026;O;LS;Acceptable (4);AVA- POTENTIAL EVACUATION DELAY DUE TO PASSENGER MOBILITY REQUIREMENTS;N454AV
O16734-26;12/07/2026 01:30;24/07/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS MEDICAL KIT USED AND PAX WHO DOES NOT FOLLOW INSTRUCTIONS;N786AV
O15824-26;11/07/2026 18:00;16/07/2026;O;LS;Acceptable (2);AVA- POTENTIAL FIRE RISK DUE TO DAMAGED IPAD CASE;N562AV
O15809-26;11/07/2026 12:14;16/07/2026;O;LS;Acceptable (1);AVA- FUELING WITH PASSENGERS IN AISLE PRECAUTIONARY;HK-5406
O15756-26;10/07/2026 17:00;16/07/2026;P;AO;Acceptable (4);AVA- ELECTRONIC DEVICE DROPPED WHEN DOOR IS OPEN;N562AV
O17158-26;02/07/2026 19:45;28/07/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS;N206FR
O16723-26;26/06/2026 20:00;24/07/2026;O;LS;Acceptable (2);AVA- PAX ILLNESS;N726AV
O13310-26;11/06/2026 19:30;12/06/2026;P;AO;Tolerable (20);AVA- FLIGHT CREW INJURY DURING TURBULENCE;N632AV
O12684-26;02/06/2026 13:20;04/06/2026;P;AO;Acceptable (4);AVA - TURBULENCE DURING DESCENT;N782AV
O17414-26;03/02/2026 22:30;31/07/2026;O;LS;Acceptable (2);AVA- PASSENGER ILLNESS AND MEDICAL KIT USE;N794AV
